Selection Ranking,Processing,Classifier,Run,Accuracy,Specificity,F1-Score,Sensitivity,Auc
KW,LDA,KNN_Classifier,2,0.9927903475476579,0.9857566219874778,0.9937234886169749,0.9980572839638107,0.9946716413642808
KW,LDA,KNN_Classifier,3,0.9928454801840582,0.9859158549090596,0.993771016002416,0.9980352730797174,0.994702195455687
KW,LDA,KNN_Classifier,4,0.9927818656035964,0.985767082882721,0.9937152483402819,0.9980345421085126,0.994693993918118
KW,LDA,KNN_Classifier,5,0.9928751669882738,0.985921728375122,0.993798177372376,0.9980797684277363,0.9946290045008978
KW,LDA,SVM_Classifier,1,0.9925740579740877,0.9836626968519155,0.9935448685704822,0.9992433581493791,
KW,LDA,SVM_Classifier,2,0.9925698170020569,0.9836544494534032,0.9935405594611332,0.9992435546143351,
KW,LDA,SVM_Classifier,3,0.9925698170020569,0.983665217481765,0.9935408061369946,0.9992363468800542,
KW,LDA,SVM_Classifier,4,0.9925613350579953,0.9836542176938972,0.9935335486725755,0.999228656085538,
KW,LDA,SVM_Classifier,5,0.992565576030026,0.9836467791829513,0.9935370354914003,0.9992439314316259,
AUC,Natural,Euclidean_MDC,1,0.7780741746008185,0.8049772699095371,0.7961820630412859,0.7579459179907871,0.9248967501858412
AUC,Natural,Euclidean_MDC,2,0.7780911384889417,0.8050129900007013,0.7961921646704001,0.7579373554436561,0.9248640779826888
AUC,Natural,Euclidean_MDC,3,0.7780868975169108,0.8050069248893792,0.7961822765124101,0.7579303731841076,0.9249352029022211
AUC,Natural,Euclidean_MDC,4,0.7780699336287877,0.8049653189018174,0.7961688629207126,0.757930076229767,0.9248989171009488
AUC,Natural,Euclidean_MDC,5,0.7780699336287877,0.8049577547243303,0.7961787010317194,0.7579400072449374,0.9249135511474597
AUC,Natural,Mahalanobis_MDC,1,0.9377510125320724,0.8552366655259425,0.9483665608494061,0.9995104567452346,0.8643429290515475
AUC,Natural,Mahalanobis_MDC,2,0.937996988909858,0.8558300301858427,0.9485568872950584,0.9995031593134437,0.8642791614644806
AUC,Natural,Mahalanobis_MDC,3,0.9380012298818888,0.8558552109953567,0.948560195772133,0.9994959618573137,0.8644436869320494
AUC,Natural,Mahalanobis_MDC,4,0.9376449882313027,0.8550434383684582,0.9482766351301544,0.9994814558640106,0.8644197897784588
AUC,Natural,Mahalanobis_MDC,5,0.9376449882313025,0.8550117268707809,0.9482809785507247,0.9994878651866221,0.8644725056900273
AUC,Natural,LDA_Fisher_MDC,1,0.9705676541063213,0.9312576497645395,0.9749148096761171,1.0,0.9948963643121604
AUC,Natural,LDA_Fisher_MDC,2,0.9703937742530588,0.9308598585071737,0.9747695909978823,1.0,0.9948906509208938
AUC,Natural,LDA_Fisher_MDC,3,0.9706058228545983,0.9313218999928736,0.9749508137610208,1.0,0.9948988265590533
AUC,Natural,LDA_Fisher_MDC,4,0.9709875103373694,0.932203497619765,0.9752730247700478,1.0,0.994900149757298
AUC,Natural,LDA_Fisher_MDC,5,0.9705761360503826,0.9312654538288745,0.9749232137015411,1.0,0.9948990139840643
